Iteration,Accuracy,Latency
1,0.741,19.916
2,0.744,18.869
3,0.753,17.799
4,0.766,17.051
5,0.794,16.196
6,0.8,15.187
7,0.784,14.186
8,0.781,13.169
9,0.812,12.136
10,0.812,11.157
11,0.819,10.178
12,0.834,9.136
13,0.834,8.084
14,0.866,7.117
15,0.894,6.114
16,0.922,5.078
17,0.925,4.07
18,0.953,3.029
19,0.859,2.04
