Iteration,Accuracy,Latency
1,0.722,99.064
2,0.728,93.819
3,0.739,89.659
4,0.74,85.535
5,0.758,80.484
6,0.761,76.132
7,0.773,71.679
8,0.778,66.714
9,0.785,61.216
10,0.793,56.074
11,0.803,51.287
12,0.812,45.814
13,0.83,40.949
14,0.851,35.638
15,0.877,30.367
16,0.898,25.269
17,0.939,20.108
18,0.966,15.066
19,0.858,10.023
