Iteration,Accuracy,Latency
1,0.769,19.969
2,0.762,19.065
3,0.788,18.031
4,0.812,17.049
5,0.819,16.284
6,0.838,15.305
7,0.816,14.334
8,0.809,13.32
9,0.809,12.239
10,0.816,11.319
11,0.825,10.206
12,0.834,9.198
13,0.869,8.168
14,0.875,7.154
15,0.903,6.119
16,0.931,5.035
17,0.956,4.085
18,0.975,3.06
19,0.859,2.032
