Iteration,Accuracy,Latency
1,0.811,12.566
2,0.835,11.353
3,0.849,9.959
4,0.878,8.683
5,0.879,7.444
6,0.908,6.242
7,0.948,4.979
8,0.969,3.755
9,0.831,2.51
