Iteration,Accuracy,Latency
1,0.8,2.548
2,0.831,2.25
3,0.869,2.016
4,0.919,1.779
5,0.919,1.53
6,0.919,1.26
7,0.938,1.009
8,0.969,0.758
9,0.812,0.507
