Iteration,Accuracy,Latency
1,0.781,2.51
2,0.831,2.227
3,0.862,2.016
4,0.862,1.758
5,0.881,1.497
6,0.925,1.241
7,0.938,0.993
8,0.969,0.744
9,0.819,0.495
